time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.3735e-321	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.919301	-0.0663587	2.564	-6.76405e-18	-5.55758e-20	radar	1.69418	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.17639	0.47425	2.9554	0.00779206	0.000754854	lidar	0.146146	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.30322	0.510828	5.23074	0.168161	0.0221775	radar	2.43841	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.60899	0.561766	5.56347	0.283351	0.036032	lidar	0.623226	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82746	0.578868	6.19241	-0.0125938	0.00620682	radar	1.16092	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.14969	0.624428	6.46774	0.088959	0.0189888	lidar	0.221136	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.32471	0.653949	5.42314	0.104695	0.0286131	radar	2.33503	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.61073	0.676582	5.45508	0.0936853	0.0120802	lidar	0.134363	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.87964	0.659227	5.37978	0.0430705	-0.0843866	radar	0.277507	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.1133	0.660366	5.34032	0.0369915	-0.0807185	lidar	0.635448	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.40362	0.55886	5.39739	-0.103424	-0.484508	radar	2.07391	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.71825	0.454523	5.49043	-0.225683	-0.786886	lidar	3.12058	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.99778	0.534135	5.47693	-0.0805846	-0.209731	radar	3.30686	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.27527	0.533216	5.47337	-0.0673818	-0.144884	lidar	0.199485	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.53188	0.57763	5.38406	-0.014209	0.0026086	radar	1.37627	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.7123	0.705288	5.21825	0.124312	0.341146	lidar	9.98519	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.96402	0.710552	5.15758	0.115679	0.286344	radar	2.12769	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27236	0.698431	5.23158	0.0854061	0.18945	lidar	3.50295	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53105	0.705086	5.26511	0.0816321	0.163125	radar	1.57125	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.83043	0.713875	5.3141	0.0754218	0.135143	lidar	1.96324	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07645	0.633702	5.23305	0.00356983	-0.00772623	radar	4.53888	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33081	0.755377	5.228	0.092539	0.145269	lidar	2.7052	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58047	0.792537	5.18881	0.108557	0.159487	radar	0.449023	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83128	0.78236	5.17831	0.0906164	0.119181	lidar	0.44707	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07576	0.765501	5.09072	0.0701125	0.0792579	radar	3.50409	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.2958	0.851458	5.05437	0.117802	0.142211	lidar	2.16421	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58789	0.864303	5.1581	0.111897	0.12365	radar	4.52902	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.8415	0.832429	5.14846	0.0827119	0.0760643	lidar	0.940978	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.09154	0.852447	5.09004	0.0854078	0.0741939	radar	2.5	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.33077	0.864615	5.07122	0.0843929	0.0681961	lidar	0.392414	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59704	0.961036	5.16341	0.127296	0.118251	radar	6.21233	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83555	1.01519	5.14403	0.144803	0.132646	lidar	0.502963	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12424	1.05641	5.20013	0.151111	0.13188	radar	6.78817	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36318	1.08317	5.17547	0.152155	0.12532	lidar	0.66759	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
